"basec_id","project_title","multi_or_monocentric","principal_investigator","investigational_sites","type","study_phase","study_category","lead_ec","local_ecs","final_decition_date"
2016-00030,"The HPV self-test as a test of cure in the
follow-up of HPV-positive women in
Madagascar: a follow-up study",monocentric,Pr Patrick Petignat,"HUG, Geneva",clinical trial,,A,"Commission
cantonale d'éthique
de la recherche CCER",,23.05.2016
2016-00040,"Clinical features, diagnosis and treatment
response of large-vessels vasculitis:
retrospective cohort study from the
University Hospitals Geneva",monocentric,Prof. Jörg Seebach,"HUG, Geneva","personal
data/biological material",,,"Commission
cantonale d'éthique
de la recherche CCER",,31.03.2016
2016-00042,"Medical Student Master Thesis: Adherence
to allergen immunotherapy, a monocentric
retrospective study in the Allergy Unit at
the University Hospital of Geneva.",monocentric,MD,"Service d'immunologie et
d'allergologie, HUG,
Genève","personal
data/biological material",,,"Commission
cantonale d'éthique
de la recherche CCER",,22.02.2016
2016-00045,"Efficacy of non steroidal antiinflammatory
eye drops and/or carboanhydrase
inhibitor blockers in the treatment of
central serous chorioretinopathy (CRCS)",monocentric,"Dr. med. Argyrios
Chronopoulos","Geneva University Clinics,
Department of
Ophthalmology, Geneva","personal
data/biological material",,,"Commission
cantonale d'éthique
de la recherche CCER",,12.07.2016
2016-00056,"Epidemiology of critical events, morbidity
and mortality in neonatal anaesthesia:
A European prospective multicentre
observational study",multicentric,Prof Walid Habre,"Geneva University
Hospitals , Geneva
SL Kinderanästhesie
Universitätsklinik für
Anästhesiologie und
Schmerztherapie
Inselspital, Bern
University Children's
Hospital Basel , Basel
Kantonsspital Luzern,
Luzern
Geneva Children's
Hospital, Geneva
ospedale Regionale
Bellinzona e Valli,
Bellinzona
Centre Hospitalier
Universitaire Vaudois -
CHUV, Lausanne
Zürich University
Children's Hospital, Zurich","non clinical, involving
persons",,A,"Commission
cantonale d'éthique
de la recherche CCER","Ethikkommission
Nordwest- und
Zentralschweiz EKNZ
Kantonale
Ethikkommission Bern
Kantonale
Ethikkommission
Zürich
Commission
cantonale d'éthique
de la recherche sur
l'être humain Vaud
(CER-VD)
Comitato etico
cantonale Ticino",31.03.2016
2016-00065,"SaltoTM and Salto TalarisTM Total Ankle
Replacement: Prospective Study of 247
Patients with a 1 to 11 year Follow-Up",multicentric,MD Halah KUTAISH,"Clinique La Colline, Geneva
CHUV, Lausanne","personal
data/biological material",,,"Commission
cantonale d'éthique
de la recherche CCER","Commission
cantonale d'éthique
de la recherche sur
l'être humain Vaud
(CER-VD)",29.03.2016
2016-00076,"Embryonic stem cell differentiation to
study physiopathology and therapeutics in
human diseases",monocentric,"Prof.Dr.Med. Karl-Heinz
Krause","University of Geneva,
Geneva","personal
data/biological material",,,"Commission
cantonale d'éthique
de la recherche CCER",,13.04.2016
2016-00077,"Nutrition of nightworkers: What are their
eating habits and typical eating patterns?",monocentric,Sophie Bucher Della Torre,"Haute école de santé
Genève, Filière Nutrition
et diététique, Genève","non clinical, involving
persons",,A,"Commission
cantonale d'éthique
de la recherche CCER",,16.03.2016
2016-00091,"Mirror Therapy: Effects on functional
recuperation of severe upper limb paresis
after stroke.",monocentric,Dre Béatrice LEEMANN,"Service de
Neurorééducation -
Hôpitaux Universitaires de
Genève, Genève",clinical trial,,A,"Commission
cantonale d'éthique
de la recherche CCER",,05.04.2016
2016-00104,"Radiographie de l'abdomen sans
préparation aux urgences: un examen
inutile?",monocentric,Pr Olivier RUTSCHMANN,"Hôpitaux Universitaires de
Genève, Genève","personal
data/biological material",,,"Commission
cantonale d'éthique
de la recherche CCER",,11.02.2016
2016-00106,"Study of tear composition in multiple
sclerosis patients.
Etude sur la composition des larmes de
sujets atteints de sclérose en plaques (SEP).",monocentric,Pr Patrice Lalive,"HUG, Geneva","non clinical, involving
persons",,A,"Commission
cantonale d'éthique
de la recherche CCER",,14.06.2016
2016-00111,"A prospective study to evaluate the
reduction of beam hardening CT artefacts
using new iterative reconstruction
algorithms.",monocentric,Prof Xavier Montet,"Hôpitaux Universitaires
Genève, Genève","personal
data/biological material",,,"Commission
cantonale d'éthique
de la recherche CCER",,13.04.2016
2016-00124,"Influence of vitamin D supplementation on
the clot structure and markers of
haemostasis and inflammation: a
prospective cohort study",monocentric,"Dr Marc Blondon & Dr
Alessandro Casinis","Division of Angiology &
Haemostasis, Geneva
University Hospitals and
Faculty of Medicine,
Geneva","non clinical, involving
persons",,A,"Commission
cantonale d'éthique
de la recherche CCER",,27.04.2016
2016-00141,"Importance of family history of cancer on
colorectal cancer occurrence and outcome:
setting-up a population-based Familial
Colorectal Cancer Registry in Geneva",monocentric,"Prof Christine
BOUCHARDY","Registre Genevois des
Tumeurs, Genève","personal
data/biological material",,,"Commission
cantonale d'éthique
de la recherche CCER",,03.03.2016
2016-00161,"Diagnostic accuracy of multilead ECGs
recorded using novel Pocket-sized bipolar
devices.",monocentric,Professor Haran BURRI,"Hôpital Cantonal
Universitaire de Genève,
Geneva","non clinical, involving
persons",,A,"Commission
cantonale d'éthique
de la recherche CCER",,12.04.2016
2016-00165,"Déterminants motivationnels de la rechute
tabagique en période post-natale : un suivi
par questionnaire jusqu'à 6 mois après
l’accouchement.",monocentric,"Professeur Olivier
Desrichard","Faculté de psychologie et
sciences de l'éducation,
Genève","non clinical, involving
persons",,A,"Commission
cantonale d'éthique
de la recherche CCER",,08.03.2016
2016-00175,"Etude de l'expression des facteurs de
croissances fibroblastiques,
mésenchymateux, épithéliaux et
endothéliaux dans le poumon de foetus
humains sains.",monocentric,"Dr Isabelle Ruchonnet-
Métrailler","Département
d'Immunologie et
Pathologie, Genève",embryos/fetuses,,,"Commission
cantonale d'éthique
de la recherche CCER",,05.04.2016
2016-00179,"Impact d'une évaluation médicale précoce
sur les délais de prise en charge aux
urgences",monocentric,Pr Olivier Rutschmann,"Hôpitaux Universitaires de
Genève, Genève","personal
data/biological material",,,"Commission
cantonale d'éthique
de la recherche CCER",,29.02.2016
2016-00202,"FLUID BOLUS THERAPY IN NEONATES: A
MULTI-CENTRE, PROSPECTIVE CROSS-
SECTIONAL STUDY",multicentric,Dr Oliver KARAM,"HUG, Geneva
Ostschweizer Kinderspital,
St Gallen","non clinical, involving
persons",,A,"Commission
cantonale d'éthique
de la recherche CCER","Ethikkommission
Ostschweiz EKOS",05.04.2016
2016-00205,"Evaluation et traitement de la douleur au
service des urgences des HUG",monocentric,Pr Olivier Rutschmann,"Hôpitaux Universitaires de
Genève, Genève","personal
data/biological material",,,"Commission
cantonale d'éthique
de la recherche CCER",,03.03.2016
2016-00206,"Magnetic resonance imaging to detect
minimal hepatic encephalopathy in
children with chronic liver disease and
portal hypertension",monocentric,Pr Sylviane Hanquinet,"HUG, Geneva","personal
data/biological material",,,"Commission
cantonale d'éthique
de la recherche CCER",,05.04.2016
2016-00218,"Live vaccine under
immunosuppressive/immunomodulatory
therapy – a retrospective study",monocentric,Dr Gilles Eperon,"SMTH, HUG, Geneva","non clinical, involving
persons",,A,"Commission
cantonale d'éthique
de la recherche CCER",,21.07.2016
2016-00231,"Technological Advances in Pediatric
Computed Tomography",monocentric,Prof. Sylviane Hanquinet,"HUG/ Hopital des Enfants,
Geneva","personal
data/biological material",,,"Commission
cantonale d'éthique
de la recherche CCER",,01.06.2016
2016-00234,"“Evaluation de l’efficacité de la fibrinolyse
intrapleurale par urokinase pour le
traitement des empyèmes
parapneumoniques aux HUG”",monocentric,Dr. Wolfram Karenovics,"Hôpitaux universitaires de
Genève, Genève","personal
data/biological material",,,"Commission
cantonale d'éthique
de la recherche CCER",,21.07.2016
2016-00285,"Feasibility of a mobile health (mHealth)
data collection system for women
participating to a cervical cancer campaign:
A pilot study in Madagascar",monocentric,Professeur Patrick Petignat,"Hôpitaux Universitaires de
Genève, Genève","non clinical, involving
persons",,A,"Commission
cantonale d'éthique
de la recherche CCER",,14.06.2016
2016-00310,"Impact of simulation training on the
success rate of external cephalic version
and vacuum assisted delivery in clinical
practice",multicentric,Dr Nicole Jastrow-Meyer,"Hôpitaux Universitaires de
Genève, Genève
Centre hospitalier
universitaire vaudois,
Lausanne",clinical trial,,A,"Commission
cantonale d'éthique
de la recherche CCER","Commission
cantonale d'éthique
de la recherche sur
l'être humain Vaud
(CER-VD)",08.06.2017
2016-00317,"Etude de faisabilité d'une intervention en
activité physique adaptée pour des
patientes atteintes de cancer du sein",monocentric,Dr Alexandre Bodmer,"Hôpitaux Universitaire de
Genève, Genève","non clinical, involving
persons",,A,"Commission
cantonale d'éthique
de la recherche CCER",,29.03.2016
2016-00318,"A Prospective Randomized Study
Evaluating Pupillometry Guided
Remifentanil Administration in Pediatric
Anesthesia",monocentric,Dr Nicolas LOUVET,"Hôpitaux universitaire de
Genève, Genève",clinical trial,,A,"Commission
cantonale d'éthique
de la recherche CCER",,03.05.2016
2016-00321,"Investigation des substrats
neurobiologiques de l’influence des pairs
dans l’inhibition cognitive en lien avec les
conduites addictives.",monocentric,Prof. Didier Grandjean,"Université de Genève,
Genève","non clinical, involving
persons",,A,"Commission
cantonale d'éthique
de la recherche CCER",,03.05.2016
2016-00325,"CORRELATION BETWEEN CEREBRAL
MICROEMBOLIZATION AND PLAQUE
CHARACTERISTICS AFTER CAROTID
REVASCULARIZATION",monocentric,Loraine Fisch,"Service de Neurologie des
Hôpitaux universitaires de
Genève, Geneva",clinical trial,,A,"Commission
cantonale d'éthique
de la recherche CCER",,21.11.2016
2016-00357,"Randomized controlled trial of methylene
blue fluorescence for
identification of the ureters in laparoscopic
colorectal surgery.",monocentric,Dr Jonathan Douissard,"Visceral Surgery
Department, University
Hospital of Geneva,
Geneva",clinical trial,phase 2,C,"Commission
cantonale d'éthique
de la recherche CCER",,06.09.2017
2016-00388,"Evolution et devenir des patients suivis par
l'équipe mobile à sa création: follow up
après 8 ans.",monocentric,"Professeur Philippe
Huguelet","HUG, Genève","non clinical, involving
persons",,A,"Commission
cantonale d'éthique
de la recherche CCER",,18.05.2016
2016-00400,"Views and experiences of currently or
recently hospitalized patients with regard
to barriers or facilitators to responsible
antibiotic use: a qualitative descriptive
study",monocentric,Dr Benedikt Huttner,"Geneva University
Hospitals, Geneva","non clinical, involving
persons",,A,"Commission
cantonale d'éthique
de la recherche CCER",,12.05.2016
2016-00412,"A Comparison of Cotton and Flocked Swabs
for Vaginal Cell Collection",monocentric,Dr Manuela Viviano,"HUG, Genève",clinical trial,,A,"Commission
cantonale d'éthique
de la recherche CCER",,12.05.2016
2016-00414,"Echocardiographie et cardiopathies
diagnostiquées in utéro: étude
rétrospective sur 6 ans (2009-2014) à
Genève.",monocentric,Mr/Jonathan / Kohler,"Université de Genève,
Genève","personal
data/biological material",,,"Commission
cantonale d'éthique
de la recherche CCER",,02.05.2016
2016-00421,"Utilité de l’évaluation cytologique
extemporanée pendant les prélèvements
transbronchiques guidés par échographie
endobronchique dans les pathologies
malignes et non malignes.",monocentric,Dr Pietro Gianella,"HUG, Genève","personal
data/biological material",,,"Commission
cantonale d'éthique
de la recherche CCER",,30.05.2016
2016-00424,"European Prevention of Alzheimer’s
Dementia (EPAD) Longitudinal Cohort
Study (LCS)",monocentric,"Professor Giovanni B.
Frisoni","Hôpitaux Universitaires
Genève / Université de
Genève , Genève","non clinical, involving
persons",,B,"Commission
cantonale d'éthique
de la recherche CCER",,12.09.2016
2016-00426,"Association between type I diabetes and
periodontal health: clinical and biological
findings",monocentric,"Professeur Andrea
Mombelli","Clinique Universitaire de
Médecine Dentaire,
Genève","non clinical, involving
persons",,A,"Commission
cantonale d'éthique
de la recherche CCER",,18.05.2016
2016-00431,"DIFFUSION TENSOR IMAGING FOR
EVALUATION OF SACRAL PLEXUS
ABNORMALITIES IN PATIENTS SUFFERING
FROM DEEP PELVIC ENDOMETRIOSIS AND
PELVIC PAIN: A PILOT SINGLE CENTRE
STUDY",monocentric,MD/Diomidis/Botsikas,"HUG, Geneva","non clinical, involving
persons",,A,"Commission
cantonale d'éthique
de la recherche CCER",,06.06.2016
2016-00444,"Prise de décision et information en
transplantation pédiatrique ; une approche
qualitative",monocentric,Pte Bernice Elger,"CMU, Genève","non clinical, involving
persons",,A,"Commission
cantonale d'éthique
de la recherche CCER",,26.07.2016
2016-00447,"Quality of life in patients with congenital
afibrinogenemia",multicentric,Dr Alessandro Casini,"University Hospitals of
Geneva, Geneva
Inselspital, Bern","non clinical, involving
persons",,A,"Commission
cantonale d'éthique
de la recherche CCER","Kantonale
Ethikkommission Bern",04.02.2016
2016-00459,"Etude de nouveaux biomarqueurs pour
l’évaluation précoce de l'atteinte rénale
chez l’enfant et le jeune adulte",multicentric,Pr Paloma Parvex,"Unité romande de
néphrologie pédiatrique
HUG-CHUV, Genève
CHUV, Lausanne
HUG, Genève","non clinical, involving
persons",,A,"Commission
cantonale d'éthique
de la recherche CCER","Commission
cantonale d'éthique
de la recherche sur
l'être humain Vaud
(CER-VD)",13.03.2017
2016-00463,"Dépistage de maladies respiratoires liées à
la consommation de tabac: résultats d’une
journée de dépistage dans un centre
universitaire.",monocentric,Dr Pietro Gianella,"Hôpitaux Universitaires
Genève, Genève","personal
data/biological material",,,"Commission
cantonale d'éthique
de la recherche CCER",,30.05.2016
2016-00500,"A Phase II randomized, observer-blind
controlled pilot study to compare the
safety and immunogenicity of acellular
pertussis vaccines including chemically or
genetically-detoxified pertussis toxin in
adolescents aged 11-15 years previously
immunized with acellular pertussis
vaccines.",monocentric,Prof. Claire-Anne Siegrist,"Center for Vaccinology
(HUG), Geneva",clinical trial,phase 2,C,"Commission
cantonale d'éthique
de la recherche CCER",,21.06.2016
2016-00504,"Bio-marqueurs précoces du risque de
récurrence et de la réponse au traitement
antiépileptique après une première crise
épileptique",monocentric,Dr Francesca Pittau,"Cheffe de clinique
scientifique, Unité d’EEG
et d’exploration de
l’épilepsie, service de
Neurologie, Genève","non clinical, involving
persons",,A,"Commission
cantonale d'éthique
de la recherche CCER",,02.08.2016
2016-00506,"Management of pulmonary carcinoids
(typical and atypical): the Swiss Experience",monocentric,"Dr Samira Sadowski
Veuthey","University Hospitals of
Geneva, Geneva","personal
data/biological material",,,"Commission
cantonale d'éthique
de la recherche CCER",,12.04.2016
2016-00510,"Adhésion au traitement et auto-
stigmatisation dans les troubles de
l'humeur",monocentric,"Dr Hélène Richard-
Lepouriel","HUG, GENEVE","non clinical, involving
persons",,A,"Commission
cantonale d'éthique
de la recherche CCER",,31.05.2016
2016-00513,"Utilization and utility of pregnancy
information for women during pregnancy
in the cantons of Geneva and Zurich",multicentric,Dr. Nicole Schmidt,"HUG , Geneva
Dpt of Obstetrics, Geneva
Klinik für Geburtshilfe,
Zürich","non clinical, involving
persons",,A,"Commission
cantonale d'éthique
de la recherche CCER","Kantonale
Ethikkommission
Zürich",09.06.2016
2016-00521,"Screening for BRONJ (bisphosphonate-
related osteonecrosis of the jaws) in
paediatric patients: A clinical, radiological
study.",monocentric,Professor Scolozzi Paolo,"service de chirurgie
Maxillo-faciale et buccale,
HUG, Genève","non clinical, involving
persons",,A,"Commission
cantonale d'éthique
de la recherche CCER",,02.02.2017
2016-00532,"Recours et non recours aux soins de
personnes sans assurance maladie de base
: une étude qualitative des effets de
parcours de vie et de réseaux personnels.",monocentric,Professor Eric D. Widmer,"University of Geneva,
Geneva","non clinical, involving
persons",,A,"Commission
cantonale d'éthique
de la recherche CCER",,21.07.2016
2016-00533,"Probing the role of intermanual transfer for
stroke recovery",monocentric,Dr Emmanuel CARRERA,"HUG/UNIGE, Genève",clinical trial,,A,"Commission
cantonale d'éthique
de la recherche CCER",,05.09.2016
2016-00549,"Exploration du virome du liquide
céphalorachidien de populations-contrôle",monocentric,Dr Manuel Schibler,"HUG, Genève","non clinical, involving
persons",,A,"Commission
cantonale d'éthique
de la recherche CCER",,03.08.2016
2016-00564,"Etude de la population-cible du projet
européen REACH",monocentric,Prof. Antoine Geissbühler,"HUG, Geneva","non clinical, involving
persons",,A,"Commission
cantonale d'éthique
de la recherche CCER",,21.07.2016
2016-00580,"Etude SNAPP: SNApshot des prescriptions
d'inhibiteurs de la Pompe à Proton (IPP)
dans deux services d'un hôpital
universitaire",monocentric,Prof Jules Desmeules,"HUG, Geneva","personal
data/biological material",,,"Commission
cantonale d'éthique
de la recherche CCER",,01.06.2016
2016-00582,"Perception des changements de
comportements après transfusion sanguine",monocentric,Dr Oliver KARAM,"Hôpitaux Universitaires de
Genève, Genève","non clinical, involving
persons",,A,"Commission
cantonale d'éthique
de la recherche CCER",,19.05.2016
2016-00588,"Résultats et efficacité des urétroplasties
bulbaires",monocentric,Vanessa Fenner,"Geneva University
Hospital, Geneva","personal
data/biological material",,,"Commission
cantonale d'éthique
de la recherche CCER",,24.01.2017
2016-00603,"Sclérose latérale amyotrophique : étude
longitudinale des troubles cognitifs et de la
parole",monocentric,Dr Ursula Guerra Lopez,"HUG, Genève","non clinical, involving
persons",,A,"Commission
cantonale d'éthique
de la recherche CCER",,25.08.2016
2016-00616,"Cerebral distribution of nicotinic receptors
and correlation with interoceptive
awareness",monocentric,Dr Fabienne Picard,"Hôpitaux Universitaires de
Genève, Genève","non clinical, involving
persons",,A,"Commission
cantonale d'éthique
de la recherche CCER",,21.06.2016
2016-00632,"Unraveling the mode of action of JAK
inhibitor Tofacitinib in Psoriasis",monocentric,"Prof Wolf-Henning
Boehncke","Hôpital Universitaire de
Genève, Genève","personal
data/biological material",,,"Commission
cantonale d'éthique
de la recherche CCER",,26.04.2016
2016-00651,"The effectiveness of a pulpotomy
technique in permanent mature teeth with
irreversible pulpitis. A 1 year randomized
non-inferiority clinical trial.",monocentric,"Dr Giovanni Tommaso
ROCCA","UNIGE, Geneva",clinical trial,,A,"Commission
cantonale d'éthique
de la recherche CCER",,29.11.2016
2016-00656,"Reconstitution par ingénierie tissulaire d'un
cartilage in vitro à partir de chondrocytes
isolées de patients",monocentric,Dre Vannary Tieng Caulet,"Hôpital Cantonal de
Genève, Genève","personal
data/biological material",,,"Commission
cantonale d'éthique
de la recherche CCER",,07.07.2016
2016-00661,"Cancers et sexualité, un regard dans le
cœur des patients et une main tendue vers
une médecine de l’humain",monocentric,"Dr Francesco Bianchi-
Demicheli","HUG, geneva","non clinical, involving
persons",,A,"Commission
cantonale d'éthique
de la recherche CCER",,07.07.2016
2016-00663,"Celiac disease: a 7 years' retrospective
analysis of associated serological
parameters",monocentric,Dr. David Spoerl,"Hôpitaux universitaires
Genève, Genève","personal
data/biological material",,,"Commission
cantonale d'éthique
de la recherche CCER",,16.05.2017
2016-00665,"How Smells Impact Mood and Brain
Function",monocentric,Prof Patrik Vuilleumier,"University of Geneva,
Geneva","non clinical, involving
persons",,A,"Commission
cantonale d'éthique
de la recherche CCER",,12.07.2016
2016-00667,"Amélioration du dépistage anténatal des
cardiopathies congénitales, quelle est la
faisabilité et la validité du Doppler trans-
valvulaire cardiaque en ce qui concerne les
valvupopathies congénitales ?",monocentric,Prof Michel Boulvain,"Hôpitaux Universitaires de
Genève, Genève","non clinical, involving
persons",,A,"Commission
cantonale d'éthique
de la recherche CCER",,09.08.2016
2016-00697,"Point Prevalence of Platelet Transfusions in
Critically Ill Children",multicentric,Dr Oliver Karam,"HUG, Genève
Universitäts-Kinderspital
Zürich, Zurich","personal
data/biological material",,,"Commission
cantonale d'éthique
de la recherche CCER","Kantonale
Ethikkommission
Zürich",07.07.2016
2016-00702,"A phase III, double-blind, randomized
placebo-controlled study to evaluate the
effects of dalcetrapib on cardiovascular
(CV) risk in a genetically defined population
with a recent Acute Coronary Syndrome
(ACS): The dal-GenE trial",multicentric,Professor François Mach,"University Hospital of
Geneva, Geneva
Fondazione Cardiocentro
Ticino, via Tesserete 48,
CH-6900 Lugano",clinical trial,phase 3,C,"Commission
cantonale d'éthique
de la recherche CCER","Comitato etico
cantonale Ticino",05.09.2016
2016-00705,"Chromosome 21: functional genomics and
molecular pathophysiology of trisomy 21",monocentric,Prof Stylianos Antonarakis,"University of Geneva,
Geneva","non clinical, involving
persons",,A,"Commission
cantonale d'éthique
de la recherche CCER",,09.11.2016
2016-00706,"Study of the distribution of the nicotinic
receptors by immunohistochemistry in the
von Economo neurons in the anterior
cingulate cortex (pilot study)",monocentric,Dr Fabienne Picard,"HUG, Geneva",deceased persons,,,"Commission
cantonale d'éthique
de la recherche CCER",,26.05.2016
2016-00737,"Impact du carnet de vaccination
électronique pour l’amélioration de  la
documentation et du suivi vaccinal des
patients VIH+ suivis ambulatoirement aux
HUG",monocentric,Dr Victor PECOUL,"HUG, Genève","non clinical, involving
persons",,A,"Commission
cantonale d'éthique
de la recherche CCER",,14.09.2016
2016-00774,"Association entre cancers du sein et de la
thyroïde:  conséquences sur
l’interprétation du PET-CT au 18F-FDG et
sur la prise en charge des patientes",monocentric,Dr. Claire Tabouret-Viaud,"HUG, Geneva","personal
data/biological material",,,"Commission
cantonale d'éthique
de la recherche CCER",,21.07.2016
2016-00788,"Incidence et facteurs de risque de ré-
opération chez les patients ayant bénéficié
d’une intervention spinale non
instrumentée : analyse rétrospective de cas
avec suivi clinique de 5 ans.",monocentric,Ramona Guatta,"Hopitaux universitaires de
Geneve, Genève","personal
data/biological material",,,"Commission
cantonale d'éthique
de la recherche CCER",,03.10.2016
2016-00807,"Dyspnea interferes with cognitive
functions: a clinical trial",monocentric,Dr Dan Adler,"Hopitaux Universitaires de
Genève, Geneva",clinical trial,,A,"Commission
cantonale d'éthique
de la recherche CCER",,21.11.2016
2016-00818,"Post-operative Mobilisation After Rotator
Cuff Repair: Sling versus Nothing. A
Randomized Prospective Study.",monocentric,Dr Jérôme Tirefort,"La Tour Hospital , Meyrin",clinical trial,,A,"Commission
cantonale d'éthique
de la recherche CCER",,31.08.2016
2016-00824,"The recovery characteristics of the neuro-
muscular block induced by rocuronium
under total intravenous anesthesia versus
volatile anesthesia: a retrospective single-
center study",monocentric,Dr. Christoph Czarnetzki,"Geneva University
Hospitals, Geneva","personal
data/biological material",,,"Commission
cantonale d'éthique
de la recherche CCER",,12.09.2016
2016-00845,"Bénéfice de l’exposition à l’air froid sur la
symptomatologie du faux croup",monocentric,Dr Laurence Lacroix,"Hôpitaux Universitaires de
Genève, Genève",clinical trial,,A,"Commission
cantonale d'éthique
de la recherche CCER",,08.08.2016
2016-00883,"M15-550: Open-Label, Single Arm, Phase
IIIB, Multi-Center Study Evaluating the
Safety of Venetoclax (ABT-199) in
Treatment-naïve or  Relapsed/Refractory
Subjects with Chronic Lymphocytic
Leukemia (CLL) Harboring the 17p Deletion
or TP53 Mutation or  in CLL Subjects Who
Are Refractory to or Intolerant to B-Cell
Receptor Inhibitors",multicentric,Dr. Noémi Lang,"Hôpital Universitaires de
Genève, Genève
Ospedale Regionale di
Bellinzona e Valli,
Bellinzona
Klinik für Hämatologie,
Universtitätsspital Zürich,
8091 Zürich",clinical trial,phase 3,C,"Commission
cantonale d'éthique
de la recherche CCER","Kantonale
Ethikkommission
Zürich
Comitato etico
cantonale Ticino",12.09.2016
2016-00910,"Retrospective evaluation of intravenous
thrombolysis after non-enhanced CT in
patients with ischemic stroke",monocentric,Prof. Roman Sztajzel,"Geneva University
Hospitals, Geneva","personal
data/biological material",,,"Commission
cantonale d'éthique
de la recherche CCER",,02.08.2016
2016-00918,"Long-term immune durability after
vaccination with the vesicular stomatitis
virus-vectored Zaire Ebola candidate
vaccine (VSV-EBOV): a prospective
observational cohort study",monocentric,Prof. Claire-Anne Siegrist,"HUG, Geneva","non clinical, involving
persons",,A,"Commission
cantonale d'éthique
de la recherche CCER",,02.08.2016
2016-00938,"(20130286) A Double Blind, Randomized,
Placebo Controlled, Multicenter Study to
Evaluate Safety, Tolerability, and Efficacy
on LDL-C of Evolocumab (AMG 145) in
Subjects with HIV and with Hyperlipidemia
and/or Mixed Dyslipidemia",multicentric,Prof. Dr. Alexandra Calmy,"HUG - Division of
Infectious Disease, Genève
Ospedale Regionale di
Lugano, Lugano
Centre Hospitalier
Universitaire Vaudois -
Centre Hospitalier
Universitaire Vaudois ,
Lausanne
UniversitätsSpital Zürich -
Division of Infectious
Diseases and Hospital
Epidemiology, Zürich",clinical trial,phase 3,C,"Commission
cantonale d'éthique
de la recherche CCER","Kantonale
Ethikkommission
Zürich
Commission
cantonale d'éthique
de la recherche sur
l'être humain Vaud
(CER-VD)
Comitato etico
cantonale Ticino",25.01.2017
2016-00945,"A prediction model for induced atrial
fibrillation duration based on intracardiac
electrogram analysis following pulmonary
vein isolation: a prospective validation
study",monocentric,"Prof. Dr. med. Dipen C.
Shah","Hôpitaux Universitaires de
Genève, Service de
Cardiologie, Genève","personal
data/biological material",,,"Commission
cantonale d'éthique
de la recherche CCER",,06.09.2016
2016-00950,"Treatment of Polycythaemia Vera and
Essential Thrombocythaemia: influence on
the clot structure.",monocentric,Dr Yan Beauverd,"Geneva University
Hospitals, Geneva","non clinical, involving
persons",,A,"Commission
cantonale d'éthique
de la recherche CCER",,27.04.2017
2016-00951,"Analyse longitudinale des alcoolémies
positives aux Urgences des Hôpitaux
Universitaires de Genève entre 2004 et
2015.",monocentric,Dr Thierry Favrod-Coune,"Hôpitaux Universitaires
Genève, Genève","personal
data/biological material",,,"Commission
cantonale d'éthique
de la recherche CCER",,10.11.2016
2016-00954,"Engagement précoce des ressources ECMO
aux Hôpitaux Universitaires de Genève :
Analyse du devenir des patients
bénéficiant d’une circulation
extracorporelle veino-artérielle avec
oxygénateur à membrane suite à un arrêt
cardio-respiratoire réfractaire.",monocentric,PD. Dr Raphaël GIRAUD,"Hôpitaux Universitaires de
Genève, Geneva","personal
data/biological material",,,"Commission
cantonale d'éthique
de la recherche CCER",,25.10.2016
2016-00959,"Étude de la longueur et des angles du col
utérin par échographie endovaginale.",monocentric,Dr Isabelle Eperon,"Hôpitaux universitaires de
Genève, Suisse","non clinical, involving
persons",,A,"Commission
cantonale d'éthique
de la recherche CCER",,09.01.2017
2016-00960,"Risques pour la santé et comportements à
risque du personnel expatrié du Comité
International de la Croix-Rouge (CICR) au
retour de mission",monocentric,Dr Gilles Eperon,"SMTH-HUG, Genève","non clinical, involving
persons",,A,"Commission
cantonale d'éthique
de la recherche CCER",,09.08.2016
2016-00962,"Morsures de serpent dans le district de
santé d’Akonolinga au Cameroun :
incidence, impact et médecines
traditionnelles
Snakebite envenoming in the health district
of Akonolinga in Cameroon: incidence,
impact and traditional medicine",monocentric,Dr Gabriel Alcoba,"HUG, Geneva","non clinical, involving
persons",,A,"Commission
cantonale d'éthique
de la recherche CCER",,14.02.2017
2016-00966,"Le suicide assisté ou non chez la personne
âgée: la prévalence des maladies
somatiques est-elle la même?",monocentric,Prof. Sophie Pautex,"HUG, Genève",deceased persons,,,"Commission
cantonale d'éthique
de la recherche CCER",,11.08.2016
2016-00972,"Can a three months treatment with oral
Desogestrel prior to insertion of
etonogestrel subdermal implant improve
its continuation rate at one year?
A prospective open-label study.",multicentric,Dr Michal Yaron,"Geneva University
Hospitals, Geneva
Universitätsfrauenklinik,sp
italstrasse 21, 4031 Basel",clinical trial,n/a,A,"Commission
cantonale d'éthique
de la recherche CCER","Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",03.11.2016
2016-00974,"Productivity losses and indirect costs after
cardiovascular events in Europe",multicentric,"Dr. Professor François
Mach","Hôpitaux Universitaires
Genève, Genève
Inselspital –
Universitätsspital Bern,
Bern
Lyrer, University Hospital
Basel
Lausanne, Lausanne","non clinical, involving
persons",,A,"Commission
cantonale d'éthique
de la recherche CCER","Ethikkommission
Nordwest- und
Zentralschweiz EKNZ
Kantonale
Ethikkommission Bern
Commission
cantonale d'éthique
de la recherche sur
l'être humain Vaud
(CER-VD)",22.09.2016
